"termid","lab_year","n_record","n_patient","distancetoroot","label"
"HP:0025066",2000,1134,652,4,"Decreased mean corpuscular volume"
"HP:0011021",2000,795,252,4,"Abnormality of circulating enzyme level"
"HP:0003282",2000,8,7,4,"Low alkaline phosphatase"
"HP:0003077",2000,259,240,4,"Hyperlipidemia"
"HP:0500164",2000,1808,406,4,"Abnormal blood carbon dioxide level"
"HP:0030794",2000,7,7,4,"Abnormal C-peptide level"
"HP:0011904",2000,15,12,4,"Persistence of hemoglobin F"
"HP:0002157",2000,1239,453,4,"Azotemia"
"HP:0003154",2000,1,1,4,"Increased circulating ACTH level"
"HP:0410282",2000,7,6,4,"Abnormal circulating amylase level"
"HP:0032065",2000,876,184,4,"Abnormal serum bicarbonate concentration"
"HP:0000829",2000,4,4,4,"Hypoparathyroidism"
"HP:0001911",2000,9663,2931,4,"Abnormal granulocyte morphology"
"HP:0002921",2000,52,36,4,"Abnormality of the cerebrospinal fluid"
"HP:0012200",2000,2452,897,4,"Abnormality of prothrombin"
"HP:0002152",2000,77,76,4,"Hyperproteinemia"
"HP:0005339",2000,26,17,4,"Abnormality of complement system"
"HP:0040217",2000,189,187,4,"Elevated hemoglobin A1c"
"HP:0011935",2000,1,1,4,"Decreased urinary urate"
"HP:0001900",2000,4,2,4,"Increased hemoglobin"
"HP:0010701",2000,83,45,4,"Abnormal immunoglobulin level"
"HP:0003107",2000,673,425,4,"Abnormal circulating cholesterol concentration"
"HP:0011280",2000,5,5,4,"Abnormality of urine calcium concentration"
"HP:0003155",2000,754,550,4,"Elevated alkaline phosphatase"
"HP:0040133",2000,103,102,4,"Abnormal serum ferritin"
"HP:0000843",2000,42,37,4,"Hyperparathyroidism"
"HP:0001941",2000,468,135,4,"Acidosis"
"HP:0005372",2000,83,45,4,"Abnormality of B cell physiology"
"HP:0012116",2000,937,489,4,"Abnormal albumin level"
"HP:0001974",2000,3089,1494,4,"Leukocytosis"
"HP:0012598",2000,5,5,4,"Abnormal urine potassium concentration"
"HP:0004340",2000,308,234,4,"Abnormality of vitamin B metabolism"
"HP:0012100",2000,1960,766,4,"Abnormal circulating creatinine level"
"HP:0004369",2000,28,25,4,"Decreased purine level"
"HP:0012144",2000,2496,1268,4,"Abnormality monocyte morphology"
"HP:0031890",2000,54,50,4,"Increased urine urobilinogen"
"HP:0025435",2000,762,450,4,"Increased lactate dehydrogenase level"
"HP:0030057",2000,16,15,4,"Autoimmune antibody positivity"
"HP:0020063",2000,225,194,4,"Increased hemoglobin concentration"
"HP:0012603",2000,3,3,4,"Abnormal urine sodium concentration"
"HP:0025547",2000,1748,776,4,"Decreased mean corpuscular hemoglobin concentration"
"HP:0001882",2000,6620,2266,4,"Leukopenia"
"HP:0410042",2000,829,363,4,"Abnormal liver morphology"
"HP:0410173",2000,134,71,4,"Increased troponin I level in blood"
"HP:0045056",2000,20,18,4,"Abnormal levels of alpha-fetoprotein"
"HP:0002843",2000,361,193,4,"Abnormal T cell morphology"
"HP:0010988",2000,4,4,4,"Abnormality of the extrinsic pathway"
"HP:0032368",2000,477,159,4,"Acidemia"
"HP:0100493",2000,2,2,4,"Hypoammonemia"
"HP:0011747",2000,22,21,4,"Abnormality of the anterior pituitary"
"HP:0005518",2000,760,460,4,"Increased mean corpuscular volume"
"HP:0010990",2000,150,107,4,"Abnormality of the common coagulation pathway"
"HP:0005537",2000,883,428,4,"Decreased mean platelet volume"
"HP:0031085",2000,39,35,4,"Decreased prealbumin level"
"HP:0010989",2000,6,6,4,"Abnormality of the intrinsic pathway"
"HP:0012592",2000,8,8,4,"Albuminuria"
"HP:0010929",2000,1936,565,4,"Abnormal blood cation concentration"
"HP:0031029",2000,7,7,4,"Elevated carcinoembryonic antigen level"
"HP:0020060",2000,6097,2472,4,"Decreased red blood cell count"
"HP:0040088",2000,5558,1882,4,"Abnormal lymphocyte count"
"HP:0001894",2000,585,267,4,"Thrombocytosis"
"HP:0011015",2000,129,119,4,"Abnormal blood glucose concentration"
"HP:0003112",2000,24,23,4,"Abnormality of serum amino acid level"
"HP:0012310",2000,2496,1268,4,"Abnormal monocyte count"
"HP:0001899",2000,95,64,4,"Increased hematocrit"
"HP:0100529",2000,426,222,4,"Abnormal blood phosphate concentration"
"HP:0020059",2000,154,134,4,"Increased red blood cell count"
"HP:0003075",2000,512,206,4,"Hypoproteinemia"
"HP:0001874",2000,5672,1987,5,"Abnormality of neutrophils"
"HP:0002155",2000,259,240,5,"Hypertriglyceridemia"
"HP:0004431",2000,26,17,5,"Complement deficiency"
"HP:0003259",2000,983,317,5,"Elevated serum creatinine"
"HP:0001888",2000,5171,1650,5,"Lymphopenia"
"HP:0011991",2000,5672,1987,5,"Abnormal neutrophil count"
"HP:0012417",2000,1088,236,5,"Hypocapnia"
"HP:0003073",2000,925,478,5,"Hypoalbuminemia"
"HP:0020064",2000,3668,2111,5,"Abnormal eosinophil count"
"HP:0032067",2000,662,141,5,"Elevated serum bicarbonate concentration"
"HP:0002149",2000,45,43,5,"Hyperuricemia"
"HP:0002910",2000,829,363,5,"Elevated hepatic transaminase"
"HP:0012416",2000,720,245,5,"Hypercapnia"
"HP:0001976",2000,4,4,5,"Reduced antithrombin III activity"
"HP:0010979",2000,406,343,5,"Abnormality of lipoprotein cholesterol concentration"
"HP:0012101",2000,877,363,5,"Decreased serum creatinine"
"HP:0010927",2000,1034,408,5,"Abnormal blood inorganic cation concentration"
"HP:0003127",2000,3,3,5,"Hypocalciuria"
"HP:0410240",2000,33,30,5,"Abnormal circulating IgA level"
"HP:0010930",2000,902,304,5,"Abnormal blood monovalent inorganic cation concentration"
"HP:0011423",2000,9,9,5,"Hyperchloremia"
"HP:0030976",2000,2,2,5,"Abnormal factor VIII activity"
"HP:0410242",2000,32,29,5,"Abnormal circulating IgG level"
"HP:0001912",2000,323,264,5,"Abnormal basophil morphology"
"HP:0012343",2000,36,35,5,"Decreased serum ferritin"
"HP:0012418",2000,765,194,5,"Hypoxemia"
"HP:0031098",2000,108,105,5,"Decreased thyroid-stimulating hormone level"
"HP:0025456",2000,43,34,5,"Abnormal CSF protein level"
"HP:0011898",2000,150,107,5,"Abnormality of circulating fibrinogen"
"HP:0003146",2000,58,51,5,"Hypocholesterolemia"
"HP:0004339",2000,24,23,5,"Abnormal circulating sulfur amino acid concentration"
"HP:0002923",2000,16,15,5,"Rheumatoid factor positive"
"HP:0006254",2000,20,18,5,"Elevated alpha-fetoprotein"
"HP:0002150",2000,2,2,5,"Hypercalciuria"
"HP:0003124",2000,209,194,5,"Hypercholesterolemia"
"HP:0030796",2000,5,5,5,"Increased C-peptide level"
"HP:0001987",2000,59,38,5,"Hyperammonemia"
"HP:0012604",2000,3,3,5,"Hyponatriuria"
"HP:0031806",2000,323,264,5,"Abnormal basophil count"
"HP:0032199",2000,2452,897,5,"Abnormal prothrombin time"
"HP:0012364",2000,5,5,5,"Decreased urinary potassium"
"HP:0001879",2000,3668,2111,5,"Abnormal eosinophil morphology"
"HP:0001943",2000,45,40,5,"Hypoglycemia"
"HP:0002905",2000,137,73,5,"Hyperphosphatemia"
"HP:0410288",2000,7,6,5,"Hyperamylasemia"
"HP:0012117",2000,12,12,5,"Hyperalbuminemia"
"HP:0012312",2000,491,265,5,"Monocytopenia"
"HP:0025454",2000,9,8,5,"Abnormal CSF metabolite level"
"HP:0002925",2000,179,161,5,"Increased thyroid-stimulating hormone level"
"HP:0004341",2000,18,18,5,"Abnormality of vitamin B12 metabolism"
"HP:0004313",2000,40,24,5,"Decreased circulating antibody level"
"HP:0030795",2000,2,2,5,"Reduced C-peptide level"
"HP:0031506",2000,29,24,5,"Increased circulating thyroxine level"
"HP:0012419",2000,1620,260,5,"Hyperoxemia"
"HP:0100827",2000,387,279,5,"Lymphocytosis"
"HP:0012335",2000,290,220,5,"Abnormality of folate metabolism"
"HP:0012311",2000,2005,1066,5,"Monocytosis"
"HP:0002151",2000,468,135,5,"Increased serum lactate"
"HP:0003113",2000,7,7,5,"Hypochloremia"
"HP:0003138",2000,124,103,5,"Increased blood urea nitrogen"
"HP:0003537",2000,28,25,5,"Hypouricemia"
"HP:0002148",2000,289,161,5,"Hypophosphatemia"
"HP:0031507",2000,33,29,5,"Decreased circulating thyroxine level"
"HP:0010702",2000,43,28,5,"Increased circulating antibody level"
"HP:0011839",2000,361,193,5,"Abnormal T cell count"
"HP:0410243",2000,18,17,5,"Abnormal circulating IgM level"
"HP:0003074",2000,84,79,5,"Hyperglycemia"
"HP:0003281",2000,67,67,5,"Increased serum ferritin"
"HP:0040081",2000,795,252,5,"Abnormal circulating creatine kinase concentration"
"HP:0012594",2000,8,8,5,"Microalbuminuria"
"HP:0001880",2000,441,247,5,"Eosinophilia"
"HP:0032066",2000,214,68,5,"Decreased serum bicarbonate concentration"
"HP:0010514",2000,22,21,5,"Hyperpituitarism"
"HP:0031969",2000,107,88,5,"Reduced blood urea nitrogen"
"HP:0032198",2000,112,110,6,"Decreased prothrombin time"
"HP:0011899",2000,119,91,6,"Hyperfibrinogenemia"
"HP:0031884",2000,9,8,6,"Abnormal CSF glucose level"
"HP:0005421",2000,15,14,6,"Decreased serum complement C3"
"HP:0004363",2000,1034,408,6,"Abnormal circulating calcium concentration"
"HP:0045042",2000,11,10,6,"Decreased serum complement C4"
"HP:0025540",2000,361,193,6,"Abnormal T cell subset distribution"
"HP:0002850",2000,12,11,6,"Decreased circulating total IgM"
"HP:0031886",2000,295,273,6,"Abnormal LDL cholesterol concentration"
"HP:0031891",2000,3227,1896,6,"Decreased eosinophil count"
"HP:0011900",2000,31,20,6,"Hypofibrinogenemia"
"HP:0003236",2000,569,249,6,"Elevated serum creatine kinase"
"HP:0010981",2000,211,169,6,"Hypolipoproteinemia"
"HP:0003125",2000,1,1,6,"Reduced factor VIII activity"
"HP:0031964",2000,328,218,6,"Elevated serum alanine aminotransferase"
"HP:0040087",2000,290,220,6,"Abnormal blood folate concentration"
"HP:0025457",2000,2,2,6,"Decreased CSF protein"
"HP:0040126",2000,18,18,6,"Abnormal vitamin B12 level"
"HP:0031888",2000,111,102,6,"Abnormal HDL cholesterol concentration"
"HP:0032236",2000,408,155,6,"Increased circulating immature neutrophil count"
"HP:0031956",2000,501,289,6,"Elevated serum aspartate aminotransferase"
"HP:0003261",2000,16,14,6,"Increased circulating IgA level"
"HP:0010931",2000,707,187,6,"Abnormal blood sodium concentration"
"HP:0001875",2000,579,342,6,"Neutropenia"
"HP:0002720",2000,17,16,6,"Decreased circulating IgA level"
"HP:0003237",2000,21,18,6,"Increased circulating IgG level"
"HP:0030977",2000,1,1,6,"Increased factor VIII activity"
"HP:0031807",2000,323,264,6,"Increased basophil count"
"HP:0005403",2000,361,193,6,"Decrease in T cell count"
"HP:0011897",2000,4685,1594,6,"Neutrophilia"
"HP:0008151",2000,2340,788,6,"Prolonged prothrombin time"
"HP:0004315",2000,11,11,6,"Decreased circulating IgG level"
"HP:0002922",2000,41,33,6,"Increased CSF protein"
"HP:0011042",2000,195,161,6,"Abnormal blood potassium concentration"
"HP:0010980",2000,195,182,6,"Hyperlipoproteinemia"
"HP:0032232",2000,226,92,6,"Increased circulating creatine kinase MB isoform"
"HP:0010919",2000,24,23,6,"Abnormal circulating homocysteine concentration"
"HP:0003496",2000,6,6,6,"Increased circulating IgM level"
"HP:0000870",2000,22,21,6,"Increased circulating prolactin concentration"
"HP:0002153",2000,88,71,7,"Hyperkalemia"
"HP:0032238",2000,222,129,7,"Increased circulating metamyelocyte count"
"HP:0031885",2000,8,7,7,"Hyperglycorrhachia"
"HP:0002900",2000,107,93,7,"Hypokalemia"
"HP:0100502",2000,18,18,7,"Vitamin B12 deficiency"
"HP:0500267",2000,359,192,7,"Abnormal proportion of CD4-positive helper T cells"
"HP:0002902",2000,633,165,7,"Hyponatremia"
"HP:0032296",2000,1,1,7,"Increased circulating IgG subclass"
"HP:0032135",2000,1,1,7,"Decreased circulating IgG subclass level"
"HP:0002901",2000,974,390,7,"Hypocalcemia"
"HP:0031393",2000,2,2,7,"Abnormal proportion of CD8-positive T cells"
"HP:0032237",2000,186,105,7,"Increased circulating myelocyte count"
"HP:0005407",2000,359,192,7,"Decreased proportion of CD4-positive helper T cells"
"HP:0003563",2000,109,98,7,"Decreased LDL cholesterol concentration"
"HP:0003141",2000,186,175,7,"Increased LDL cholesterol concentration"
"HP:0003233",2000,102,93,7,"Decreased HDL cholesterol concentration"
"HP:0032164",2000,283,215,7,"Increased blood folate concentration"
"HP:0012184",2000,9,9,7,"Increased HDL cholesterol concentration"
"HP:0005415",2000,2,2,7,"Decreased proportion of CD8-positive T cells"
"HP:0100507",2000,7,5,7,"Reduced blood folate concentration"
"HP:0003072",2000,60,27,7,"Hypercalcemia"
"HP:0011972",2000,1,1,7,"Hypoglycorrhachia"
"HP:0002160",2000,24,23,7,"Hyperhomocystinemia"
"HP:0003228",2000,74,27,7,"Hypernatremia"
"HP:0008348",2000,1,1,8,"Decreased circulating IgG2 level"
"HP:0032298",2000,1,1,8,"Increased circulating IgG1 level"
"HP:0000118",2001,1338734,48314,0,"Phenotypic abnormality"
"HP:0002086",2001,76370,13646,1,"Abnormality of the respiratory system"
"HP:0001871",2001,822433,42669,1,"Abnormality of blood and blood-forming tissues"
"HP:0025031",2001,24816,5776,1,"Abnormality of the digestive system"
"HP:0001939",2001,407576,32129,1,"Abnormality of metabolism/homeostasis"
"HP:0000707",2001,3634,2499,1,"Abnormality of the nervous system"
"HP:0000818",2001,4696,2964,1,"Abnormality of the endocrine system"
"HP:0001626",2001,1846,839,1,"Abnormality of the cardiovascular system"
"HP:0025354",2001,1000,442,1,"Abnormal cellular phenotype"
"HP:0002715",2001,281690,31040,1,"Abnormality of the immune system"
"HP:0000119",2001,5568,4239,1,"Abnormality of the genitourinary system"
"HP:0032180",2001,272402,26633,2,"Abnormal circulating metabolite concentration"
"HP:0000834",2001,19,13,2,"Abnormality of the adrenal glands"
"HP:0000828",2001,965,610,2,"Abnormality of the parathyroid gland"
"HP:0001928",2001,56097,9904,2,"Abnormality of coagulation"
"HP:0001872",2001,52674,13103,2,"Abnormal thrombocyte morphology"
"HP:0032251",2001,280362,30875,2,"Abnormal immune system morphology"
"HP:0008373",2001,15,11,2,"Puberty and gonadal disorders"
"HP:0010932",2001,3215,1802,2,"Abnormal circulating nucleobase concentration"
"HP:0002795",2001,76370,13646,2,"Functional respiratory abnormality"
"HP:0011017",2001,1000,442,2,"Abnormal cellular physiology"
"HP:0000079",2001,5568,4239,2,"Abnormality of the urinary system"
"HP:0000864",2001,2965,2182,2,"Abnormality of the hypothalamus-pituitary axis"
"HP:0012639",2001,3634,2499,2,"Abnormal nervous system morphology"
"HP:0002012",2001,24816,5776,2,"Abnormality of the abdominal organs"
"HP:0000820",2001,639,452,2,"Abnormality of the thyroid gland"
"HP:0012379",2001,56164,13059,2,"Abnormal enzyme/coenzyme activity"
"HP:0031838",2001,19,11,2,"Presence of xenobiotic"
"HP:0003117",2001,778,537,2,"Abnormal circulating hormone level"
"HP:0025021",2001,2772,2087,2,"Abnormal erythrocyte sedimentation rate"
"HP:0012337",2001,66955,14480,2,"Abnormal homeostasis"
"HP:0032245",2001,2698,1985,2,"Abnormal metabolism"
"HP:0001881",2001,280362,30875,2,"Abnormal leukocyte morphology"
"HP:0003110",2001,5568,4239,2,"Abnormality of urine homeostasis"
"HP:0001877",2001,433300,35282,2,"Abnormal erythrocyte morphology"
"HP:0010978",2001,1328,636,2,"Abnormality of immune system physiology"
"HP:0500015",2001,1846,839,2,"Abnormal cardiac test"
"HP:0011873",2001,29176,7743,3,"Abnormal platelet count"
"HP:0025546",2001,50768,16517,3,"Abnormal mean corpuscular hemoglobin concentration"
"HP:0011876",2001,23498,8865,3,"Abnormal platelet volume"
"HP:0030948",2001,14316,3900,3,"Elevated gamma-glutamyltransferase level"
"HP:0011767",2001,965,610,3,"Abnormality of the parathyroid physiology"
"HP:0011733",2001,19,13,3,"Abnormality of adrenal physiology"
"HP:0002960",2001,160,149,3,"Autoimmunity"
"HP:0031850",2001,105264,22380,3,"Abnormal hematocrit"
"HP:0010987",2001,280362,30875,3,"Abnormal cellular immune system morphology"
"HP:0004332",2001,71589,16367,3,"Abnormal lymphocyte morphology"
"HP:0005368",2001,1168,525,3,"Abnormality of humoral immunity"
"HP:0011893",2001,280362,30875,3,"Abnormal leukocyte count"
"HP:0003565",2001,2772,2087,3,"Elevated erythrocyte sedimentation rate"
"HP:0100508",2001,2698,1985,3,"Abnormality of vitamin metabolism"
"HP:0025065",2001,24797,9236,3,"Abnormal mean corpuscular volume"
"HP:0003158",2001,162,157,3,"Hyposthenuria"
"HP:0031215",2001,15,15,3,"Decreased circulating dehydroepiandrosterone-sulfate level"
"HP:0010876",2001,55331,11395,3,"Abnormal circulating protein level"
"HP:0031214",2001,1,1,3,"Decreased circulating dehydroepiandrosterone level"
"HP:0040127",2001,2,1,3,"Abnormal sweat homeostasis"
"HP:0012503",2001,2965,2182,3,"Abnormality of the pituitary gland"
"HP:0011277",2001,5568,4239,3,"Abnormality of the urinary system physiology"
"HP:0003119",2001,13404,6010,3,"Abnormal circulating lipid concentration"
"HP:0011013",2001,5,5,3,"Abnormal circulating carbohydrate concentration"
"HP:0011902",2001,2483,1561,3,"Abnormal hemoglobin"
"HP:0012415",2001,76370,13646,3,"Abnormal blood gas level"
