"termid","lab_year","n_record","n_patient","label","distancetoroot"
"HP:0000118",2016,72596762,481515,"Phenotypic abnormality",0
"HP:0000118",2017,69097481,478122,"Phenotypic abnormality",0
"HP:0000118",2018,67260516,496191,"Phenotypic abnormality",0
"HP:0000118",2019,69277384,503378,"Phenotypic abnormality",0
"HP:0000118",2020,34279119,247341,"Phenotypic abnormality",0
"HP:0000118",NA,673,75,"Phenotypic abnormality",0
"HP:0000119",2000,10438,3472,"Abnormality of the genitourinary system",1
"HP:0000119",2001,54356,16196,"Abnormality of the genitourinary system",1
"HP:0000119",2002,89765,28002,"Abnormality of the genitourinary system",1
"HP:0000119",2003,474315,33320,"Abnormality of the genitourinary system",1
"HP:0000119",2004,419577,26896,"Abnormality of the genitourinary system",1
"HP:0000119",2005,537095,31905,"Abnormality of the genitourinary system",1
"HP:0000119",2006,619669,39089,"Abnormality of the genitourinary system",1
"HP:0000119",2007,1401716,55569,"Abnormality of the genitourinary system",1
"HP:0000119",2008,1327714,71465,"Abnormality of the genitourinary system",1
"HP:0000119",2009,1396480,81784,"Abnormality of the genitourinary system",1
"HP:0000119",2010,1548751,96150,"Abnormality of the genitourinary system",1
"HP:0000119",2011,1792811,109428,"Abnormality of the genitourinary system",1
"HP:0000119",2012,2535104,140310,"Abnormality of the genitourinary system",1
"HP:0000119",2013,2922364,163967,"Abnormality of the genitourinary system",1
"HP:0000119",2014,3115841,198182,"Abnormality of the genitourinary system",1
"HP:0000119",2015,3513462,263078,"Abnormality of the genitourinary system",1
"HP:0000119",2016,4002910,294939,"Abnormality of the genitourinary system",1
"HP:0000119",2017,3436031,268613,"Abnormality of the genitourinary system",1
"HP:0000119",2018,3020677,256565,"Abnormality of the genitourinary system",1
"HP:0000119",2019,3466581,263181,"Abnormality of the genitourinary system",1
"HP:0000119",2020,1359796,115564,"Abnormality of the genitourinary system",1
"HP:0000119",NA,30,30,"Abnormality of the genitourinary system",1
"HP:0000707",2000,1593,1369,"Abnormality of the nervous system",1
"HP:0000707",2001,15344,10979,"Abnormality of the nervous system",1
"HP:0000707",2002,18981,13390,"Abnormality of the nervous system",1
"HP:0000707",2003,54091,18881,"Abnormality of the nervous system",1
"HP:0000707",2004,54193,19451,"Abnormality of the nervous system",1
"HP:0000707",2005,62453,19579,"Abnormality of the nervous system",1
"HP:0000707",2006,65558,21542,"Abnormality of the nervous system",1
"HP:0000707",2007,78232,27511,"Abnormality of the nervous system",1
"HP:0000707",2008,81352,30682,"Abnormality of the nervous system",1
"HP:0000707",2009,101882,38672,"Abnormality of the nervous system",1
"HP:0000707",2010,124411,49947,"Abnormality of the nervous system",1
"HP:0000707",2011,145307,57887,"Abnormality of the nervous system",1
"HP:0000707",2012,175843,72471,"Abnormality of the nervous system",1
"HP:0000707",2013,205370,83009,"Abnormality of the nervous system",1
"HP:0000707",2014,257881,117169,"Abnormality of the nervous system",1
"HP:0000707",2015,310760,144155,"Abnormality of the nervous system",1
"HP:0000707",2016,337759,166444,"Abnormality of the nervous system",1
"HP:0000707",2017,287036,160944,"Abnormality of the nervous system",1
"HP:0000707",2018,280264,168255,"Abnormality of the nervous system",1
"HP:0000707",2019,287777,171382,"Abnormality of the nervous system",1
"HP:0000707",2020,115900,73006,"Abnormality of the nervous system",1
"HP:0000790",2003,18705,11064,"Hematuria",4
"HP:0000790",2004,19150,10950,"Hematuria",4
"HP:0000790",2005,19687,10902,"Hematuria",4
"HP:0000790",2006,20327,11373,"Hematuria",4
"HP:0000790",2007,21488,11878,"Hematuria",4
"HP:0000790",2008,27345,14634,"Hematuria",4
"HP:0000790",2009,32767,19307,"Hematuria",4
"HP:0000790",2010,43681,23572,"Hematuria",4
"HP:0000790",2011,61144,26088,"Hematuria",4
"HP:0000790",2012,69420,29747,"Hematuria",4
"HP:0000790",2013,83056,36025,"Hematuria",4
"HP:0000790",2014,106900,52058,"Hematuria",4
"HP:0000790",2015,155463,83118,"Hematuria",4
"HP:0000790",2016,192034,95454,"Hematuria",4
"HP:0000790",2017,146309,71100,"Hematuria",4
"HP:0000790",2018,115816,53317,"Hematuria",4
"HP:0000790",2019,141219,69708,"Hematuria",4
"HP:0000790",2020,58802,33224,"Hematuria",4
"HP:0000818",2000,2117,1408,"Abnormality of the endocrine system",1
"HP:0000818",2001,22505,11666,"Abnormality of the endocrine system",1
"HP:0000818",2002,27107,14187,"Abnormality of the endocrine system",1
"HP:0000818",2003,73658,19826,"Abnormality of the endocrine system",1
"HP:0000818",2004,75179,20253,"Abnormality of the endocrine system",1
"HP:0000818",2005,84711,20335,"Abnormality of the endocrine system",1
"HP:0000818",2006,93762,22569,"Abnormality of the endocrine system",1
"HP:0000818",2007,113689,28920,"Abnormality of the endocrine system",1
"HP:0000818",2008,133549,32141,"Abnormality of the endocrine system",1
"HP:0000818",2009,171162,41021,"Abnormality of the endocrine system",1
"HP:0000818",2010,209963,52753,"Abnormality of the endocrine system",1
"HP:0000818",2011,243600,61301,"Abnormality of the endocrine system",1
"HP:0000818",2012,293838,76175,"Abnormality of the endocrine system",1
"HP:0000818",2013,334001,86955,"Abnormality of the endocrine system",1
"HP:0000818",2014,411310,122199,"Abnormality of the endocrine system",1
"HP:0000818",2015,493233,150035,"Abnormality of the endocrine system",1
"HP:0000818",2016,532509,172631,"Abnormality of the endocrine system",1
"HP:0000818",2017,431561,167319,"Abnormality of the endocrine system",1
"HP:0000818",2018,412586,174710,"Abnormality of the endocrine system",1
"HP:0000818",2019,420467,178872,"Abnormality of the endocrine system",1
"HP:0000818",2020,170309,77169,"Abnormality of the endocrine system",1
"HP:0000818",NA,2,2,"Abnormality of the endocrine system",1
"HP:0000820",2000,536,454,"Abnormality of the thyroid gland",2
"HP:0000820",2001,6288,4310,"Abnormality of the thyroid gland",2
"HP:0000820",2002,7373,5043,"Abnormality of the thyroid gland",2
"HP:0000820",2003,17776,6445,"Abnormality of the thyroid gland",2
"HP:0000820",2004,17308,6647,"Abnormality of the thyroid gland",2
"HP:0000820",2005,18990,6475,"Abnormality of the thyroid gland",2
"HP:0000820",2006,21940,7795,"Abnormality of the thyroid gland",2
"HP:0000820",2007,27015,10635,"Abnormality of the thyroid gland",2
"HP:0000820",2008,36627,12107,"Abnormality of the thyroid gland",2
"HP:0000820",2009,46548,14709,"Abnormality of the thyroid gland",2
"HP:0000820",2010,54705,18503,"Abnormality of the thyroid gland",2
"HP:0000820",2011,59988,20898,"Abnormality of the thyroid gland",2
"HP:0000820",2012,76335,28431,"Abnormality of the thyroid gland",2
"HP:0000820",2013,82672,28881,"Abnormality of the thyroid gland",2
"HP:0000820",2014,105349,41105,"Abnormality of the thyroid gland",2
"HP:0000820",2015,128468,50551,"Abnormality of the thyroid gland",2
"HP:0000820",2016,131518,55018,"Abnormality of the thyroid gland",2
"HP:0000820",2017,95459,49448,"Abnormality of the thyroid gland",2
"HP:0000820",2018,86006,51836,"Abnormality of the thyroid gland",2
"HP:0000820",2019,87633,51457,"Abnormality of the thyroid gland",2
"HP:0000820",2020,35776,23186,"Abnormality of the thyroid gland",2
"HP:0000820",NA,2,2,"Abnormality of the thyroid gland",2
"HP:0000828",2000,91,79,"Abnormality of the parathyroid gland",2
"HP:0000828",2001,1878,1094,"Abnormality of the parathyroid gland",2
"HP:0000828",2002,1904,1182,"Abnormality of the parathyroid gland",2
"HP:0000828",2003,5787,1690,"Abnormality of the parathyroid gland",2
"HP:0000828",2004,5141,1571,"Abnormality of the parathyroid gland",2
"HP:0000828",2005,5137,1768,"Abnormality of the parathyroid gland",2
"HP:0000828",2006,6440,2147,"Abnormality of the parathyroid gland",2
"HP:0000828",2007,8711,2822,"Abnormality of the parathyroid gland",2
"HP:0000828",2008,10410,3414,"Abnormality of the parathyroid gland",2
"HP:0000828",2009,13331,4241,"Abnormality of the parathyroid gland",2
"HP:0000828",2010,18889,4779,"Abnormality of the parathyroid gland",2
"HP:0000828",2011,24582,5298,"Abnormality of the parathyroid gland",2
"HP:0000828",2012,25536,5760,"Abnormality of the parathyroid gland",2
"HP:0000828",2013,26668,6182,"Abnormality of the parathyroid gland",2
"HP:0000828",2014,28896,7445,"Abnormality of the parathyroid gland",2
"HP:0000828",2015,33746,9867,"Abnormality of the parathyroid gland",2
"HP:0000828",2016,35709,10350,"Abnormality of the parathyroid gland",2
"HP:0000828",2017,27621,9580,"Abnormality of the parathyroid gland",2
"HP:0000828",2018,24727,9930,"Abnormality of the parathyroid gland",2
"HP:0000828",2019,26750,10785,"Abnormality of the parathyroid gland",2
"HP:0000828",2020,10543,5011,"Abnormality of the parathyroid gland",2
"HP:0000829",2000,91,79,"Hypoparathyroidism",4
"HP:0000829",2001,1878,1094,"Hypoparathyroidism",4
"HP:0000829",2002,1904,1182,"Hypoparathyroidism",4
"HP:0000829",2003,5787,1690,"Hypoparathyroidism",4
"HP:0000829",2004,5141,1571,"Hypoparathyroidism",4
"HP:0000829",2005,5137,1768,"Hypoparathyroidism",4
"HP:0000829",2006,6440,2147,"Hypoparathyroidism",4
"HP:0000829",2007,8711,2822,"Hypoparathyroidism",4
"HP:0000829",2008,10410,3414,"Hypoparathyroidism",4
"HP:0000829",2009,13331,4241,"Hypoparathyroidism",4
"HP:0000829",2010,18889,4779,"Hypoparathyroidism",4
"HP:0000829",2011,24582,5298,"Hypoparathyroidism",4
"HP:0000829",2012,25536,5760,"Hypoparathyroidism",4
"HP:0000829",2013,26668,6182,"Hypoparathyroidism",4
"HP:0000829",2014,28896,7445,"Hypoparathyroidism",4
"HP:0000829",2015,33746,9867,"Hypoparathyroidism",4
"HP:0000829",2016,35709,10350,"Hypoparathyroidism",4
"HP:0000829",2017,27621,9580,"Hypoparathyroidism",4
"HP:0000829",2018,24727,9930,"Hypoparathyroidism",4
"HP:0000829",2019,26750,10785,"Hypoparathyroidism",4
"HP:0000829",2020,10543,5011,"Hypoparathyroidism",4
"HP:0000830",2000,87,86,"Anterior hypopituitarism",6
"HP:0000830",2001,720,630,"Anterior hypopituitarism",6
"HP:0000830",2002,676,589,"Anterior hypopituitarism",6
"HP:0000830",2003,913,577,"Anterior hypopituitarism",6
"HP:0000830",2004,1239,626,"Anterior hypopituitarism",6
"HP:0000830",2005,1273,586,"Anterior hypopituitarism",6
"HP:0000830",2006,1362,616,"Anterior hypopituitarism",6
"HP:0000830",2007,1317,617,"Anterior hypopituitarism",6
"HP:0000830",2008,1642,1479,"Anterior hypopituitarism",6
"HP:0000830",2009,2205,1958,"Anterior hypopituitarism",6
"HP:0000830",2010,2698,2414,"Anterior hypopituitarism",6
"HP:0000830",2011,2961,2647,"Anterior hypopituitarism",6
"HP:0000830",2012,2991,2703,"Anterior hypopituitarism",6
"HP:0000830",2013,3690,3330,"Anterior hypopituitarism",6
"HP:0000830",2014,4263,3529,"Anterior hypopituitarism",6
"HP:0000830",2015,4338,3798,"Anterior hypopituitarism",6
"HP:0000830",2016,4653,3876,"Anterior hypopituitarism",6
"HP:0000830",2017,6316,5457,"Anterior hypopituitarism",6
"HP:0000830",2018,8265,7133,"Anterior hypopituitarism",6
"HP:0000830",2019,8052,7056,"Anterior hypopituitarism",6
"HP:0000830",2020,2716,2538,"Anterior hypopituitarism",6
"HP:0000834",2001,70,34,"Abnormality of the adrenal glands",2
"HP:0000834",2002,213,123,"Abnormality of the adrenal glands",2
"HP:0000834",2003,3906,1146,"Abnormality of the adrenal glands",2
"HP:0000834",2004,5080,1411,"Abnormality of the adrenal glands",2
"HP:0000834",2005,5632,1487,"Abnormality of the adrenal glands",2
"HP:0000834",2006,5294,1573,"Abnormality of the adrenal glands",2
"HP:0000834",2007,5708,1792,"Abnormality of the adrenal glands",2
"HP:0000834",2008,5137,1970,"Abnormality of the adrenal glands",2
"HP:0000834",2009,5821,2312,"Abnormality of the adrenal glands",2
"HP:0000834",2010,6728,2507,"Abnormality of the adrenal glands",2
"HP:0000834",2011,7294,2677,"Abnormality of the adrenal glands",2
"HP:0000834",2012,7879,3229,"Abnormality of the adrenal glands",2
"HP:0000834",2013,6438,2989,"Abnormality of the adrenal glands",2
"HP:0000834",2014,4576,2954,"Abnormality of the adrenal glands",2
"HP:0000834",2015,7047,4438,"Abnormality of the adrenal glands",2
"HP:0000834",2016,11618,5175,"Abnormality of the adrenal glands",2
"HP:0000834",2017,11715,5014,"Abnormality of the adrenal glands",2
"HP:0000834",2018,12838,5439,"Abnormality of the adrenal glands",2
"HP:0000834",2019,12971,5500,"Abnormality of the adrenal glands",2
"HP:0000834",2020,6369,2746,"Abnormality of the adrenal glands",2
"HP:0000837",2000,10,10,"Increased circulating gonadotropin level",4
"HP:0000837",2001,87,81,"Increased circulating gonadotropin level",4
"HP:0000837",2002,212,118,"Increased circulating gonadotropin level",4
"HP:0000837",2003,1113,493,"Increased circulating gonadotropin level",4
"HP:0000837",2004,1718,539,"Increased circulating gonadotropin level",4
"HP:0000837",2005,1716,516,"Increased circulating gonadotropin level",4
"HP:0000837",2006,2515,712,"Increased circulating gonadotropin level",4
"HP:0000837",2007,2611,744,"Increased circulating gonadotropin level",4
"HP:0000837",2008,4160,2202,"Increased circulating gonadotropin level",4
"HP:0000837",2009,7325,3024,"Increased circulating gonadotropin level",4
"HP:0000837",2010,8274,3488,"Increased circulating gonadotropin level",4
"HP:0000837",2011,9010,3879,"Increased circulating gonadotropin level",4
"HP:0000837",2012,9955,4313,"Increased circulating gonadotropin level",4
"HP:0000837",2013,12110,4990,"Increased circulating gonadotropin level",4
"HP:0000837",2014,13591,4942,"Increased circulating gonadotropin level",4
"HP:0000837",2015,11905,4754,"Increased circulating gonadotropin level",4
"HP:0000837",2016,11853,4744,"Increased circulating gonadotropin level",4
"HP:0000837",2017,7059,3034,"Increased circulating gonadotropin level",4
"HP:0000837",2018,6062,2600,"Increased circulating gonadotropin level",4
"HP:0000837",2019,5937,2581,"Increased circulating gonadotropin level",4
"HP:0000837",2020,4602,1937,"Increased circulating gonadotropin level",4
"HP:0000842",2003,31,16,"Hyperinsulinemia",4
"HP:0000842",2004,2,1,"Hyperinsulinemia",4
"HP:0000842",2005,45,21,"Hyperinsulinemia",4
"HP:0000842",2006,30,23,"Hyperinsulinemia",4
"HP:0000842",2007,55,39,"Hyperinsulinemia",4
"HP:0000842",2008,7,6,"Hyperinsulinemia",4
"HP:0000842",2009,9,9,"Hyperinsulinemia",4
"HP:0000842",2010,9,9,"Hyperinsulinemia",4
"HP:0000842",2011,1,1,"Hyperinsulinemia",4
"HP:0000842",2012,5,4,"Hyperinsulinemia",4
"HP:0000842",2013,223,124,"Hyperinsulinemia",4
"HP:0000842",2014,266,147,"Hyperinsulinemia",4
"HP:0000842",2015,406,277,"Hyperinsulinemia",4
"HP:0000842",2016,476,332,"Hyperinsulinemia",4
"HP:0000842",2017,768,662,"Hyperinsulinemia",4
"HP:0000842",2018,885,746,"Hyperinsulinemia",4
"HP:0000842",2019,868,798,"Hyperinsulinemia",4
"HP:0000842",2020,253,236,"Hyperinsulinemia",4
"HP:0000843",2000,91,79,"Hyperparathyroidism",4
"HP:0000843",2001,1878,1094,"Hyperparathyroidism",4
"HP:0000843",2002,1904,1182,"Hyperparathyroidism",4
"HP:0000843",2003,5787,1690,"Hyperparathyroidism",4
"HP:0000843",2004,5141,1571,"Hyperparathyroidism",4
"HP:0000843",2005,5137,1768,"Hyperparathyroidism",4
"HP:0000843",2006,6440,2147,"Hyperparathyroidism",4
"HP:0000843",2007,8711,2822,"Hyperparathyroidism",4
"HP:0000843",2008,10410,3414,"Hyperparathyroidism",4
"HP:0000843",2009,13331,4241,"Hyperparathyroidism",4
"HP:0000843",2010,18889,4779,"Hyperparathyroidism",4
"HP:0000843",2011,24582,5298,"Hyperparathyroidism",4
"HP:0000843",2012,25536,5760,"Hyperparathyroidism",4
"HP:0000843",2013,26668,6182,"Hyperparathyroidism",4
"HP:0000843",2014,28896,7445,"Hyperparathyroidism",4
"HP:0000843",2015,33746,9867,"Hyperparathyroidism",4
"HP:0000843",2016,35709,10350,"Hyperparathyroidism",4
"HP:0000843",2017,27621,9580,"Hyperparathyroidism",4
"HP:0000843",2018,24727,9930,"Hyperparathyroidism",4
"HP:0000843",2019,26750,10785,"Hyperparathyroidism",4
"HP:0000843",2020,10543,5011,"Hyperparathyroidism",4
"HP:0000846",2001,70,34,"Adrenal insufficiency",4
"HP:0000846",2002,213,123,"Adrenal insufficiency",4
"HP:0000846",2003,3906,1146,"Adrenal insufficiency",4
"HP:0000846",2004,5080,1411,"Adrenal insufficiency",4
"HP:0000846",2005,5632,1487,"Adrenal insufficiency",4
"HP:0000846",2006,5294,1573,"Adrenal insufficiency",4
"HP:0000846",2007,5708,1792,"Adrenal insufficiency",4
"HP:0000846",2008,5137,1970,"Adrenal insufficiency",4
"HP:0000846",2009,5821,2312,"Adrenal insufficiency",4
"HP:0000846",2010,6728,2507,"Adrenal insufficiency",4
"HP:0000846",2011,7294,2677,"Adrenal insufficiency",4
"HP:0000846",2012,7879,3229,"Adrenal insufficiency",4
"HP:0000846",2013,6438,2989,"Adrenal insufficiency",4
"HP:0000846",2014,4576,2954,"Adrenal insufficiency",4
"HP:0000846",2015,7047,4438,"Adrenal insufficiency",4
"HP:0000846",2016,11618,5175,"Adrenal insufficiency",4
"HP:0000846",2017,11715,5014,"Adrenal insufficiency",4
"HP:0000846",2018,12838,5439,"Adrenal insufficiency",4
"HP:0000846",2019,12971,5500,"Adrenal insufficiency",4
"HP:0000846",2020,6369,2746,"Adrenal insufficiency",4
"HP:0000847",2002,1,1,"Abnormality of renin-angiotensin system",2
"HP:0000847",2003,221,109,"Abnormality of renin-angiotensin system",2
"HP:0000847",2004,355,176,"Abnormality of renin-angiotensin system",2
"HP:0000847",2005,419,192,"Abnormality of renin-angiotensin system",2
"HP:0000847",2006,303,141,"Abnormality of renin-angiotensin system",2
"HP:0000847",2007,249,134,"Abnormality of renin-angiotensin system",2
"HP:0000847",2008,446,343,"Abnormality of renin-angiotensin system",2
"HP:0000847",2009,464,346,"Abnormality of renin-angiotensin system",2
"HP:0000847",2010,533,395,"Abnormality of renin-angiotensin system",2
"HP:0000847",2011,635,475,"Abnormality of renin-angiotensin system",2
"HP:0000847",2012,878,744,"Abnormality of renin-angiotensin system",2
"HP:0000847",2013,906,765,"Abnormality of renin-angiotensin system",2
"HP:0000847",2014,832,673,"Abnormality of renin-angiotensin system",2
"HP:0000847",2015,971,801,"Abnormality of renin-angiotensin system",2
"HP:0000847",2016,791,655,"Abnormality of renin-angiotensin system",2
"HP:0000847",2017,909,743,"Abnormality of renin-angiotensin system",2
"HP:0000847",2018,1390,1009,"Abnormality of renin-angiotensin system",2
"HP:0000847",2019,1396,992,"Abnormality of renin-angiotensin system",2
"HP:0000847",2020,488,363,"Abnormality of renin-angiotensin system",2
"HP:0000848",2002,1,1,"Increased circulating renin level",4
"HP:0000848",2003,221,109,"Increased circulating renin level",4
"HP:0000848",2004,355,176,"Increased circulating renin level",4
"HP:0000848",2005,419,192,"Increased circulating renin level",4
"HP:0000848",2006,303,141,"Increased circulating renin level",4
"HP:0000848",2007,249,134,"Increased circulating renin level",4
"HP:0000848",2008,446,343,"Increased circulating renin level",4
"HP:0000848",2009,464,346,"Increased circulating renin level",4
"HP:0000848",2010,533,395,"Increased circulating renin level",4
"HP:0000848",2011,635,475,"Increased circulating renin level",4
"HP:0000848",2012,878,744,"Increased circulating renin level",4
"HP:0000848",2013,906,765,"Increased circulating renin level",4
"HP:0000848",2014,832,673,"Increased circulating renin level",4
"HP:0000848",2015,971,801,"Increased circulating renin level",4
"HP:0000848",2016,791,655,"Increased circulating renin level",4
"HP:0000848",2017,909,743,"Increased circulating renin level",4
"HP:0000848",2018,1390,1009,"Increased circulating renin level",4
"HP:0000848",2019,1396,992,"Increased circulating renin level",4
"HP:0000848",2020,488,363,"Increased circulating renin level",4
"HP:0000859",2003,61,51,"Hyperaldosteronism",5
"HP:0000859",2004,64,53,"Hyperaldosteronism",5
"HP:0000859",2005,184,123,"Hyperaldosteronism",5
"HP:0000859",2006,217,134,"Hyperaldosteronism",5
"HP:0000859",2007,201,129,"Hyperaldosteronism",5
"HP:0000859",2008,505,356,"Hyperaldosteronism",5
"HP:0000859",2009,509,332,"Hyperaldosteronism",5
"HP:0000859",2010,609,392,"Hyperaldosteronism",5
"HP:0000859",2011,541,413,"Hyperaldosteronism",5
"HP:0000859",2012,867,760,"Hyperaldosteronism",5
"HP:0000859",2013,967,793,"Hyperaldosteronism",5
"HP:0000859",2014,777,609,"Hyperaldosteronism",5
"HP:0000859",2015,709,570,"Hyperaldosteronism",5
"HP:0000859",2016,733,638,"Hyperaldosteronism",5
"HP:0000859",2017,999,723,"Hyperaldosteronism",5
"HP:0000859",2018,1368,951,"Hyperaldosteronism",5
"HP:0000859",2019,1706,1158,"Hyperaldosteronism",5
"HP:0000859",2020,664,452,"Hyperaldosteronism",5
"HP:0000864",2000,1461,1321,"Abnormality of the hypothalamus-pituitary axis",2
"HP:0000864",2001,13864,10573,"Abnormality of the hypothalamus-pituitary axis",2
"HP:0000864",2002,17156,12931,"Abnormality of the hypothalamus-pituitary axis",2
"HP:0000864",2003,44270,18190,"Abnormality of the hypothalamus-pituitary axis",2
"HP:0000864",2004,45052,18787,"Abnormality of the hypothalamus-pituitary axis",2
"HP:0000864",2005,52827,18817,"Abnormality of the hypothalamus-pituitary axis",2
"HP:0000864",2006,57765,20835,"Abnormality of the hypothalamus-pituitary axis",2
"HP:0000864",2007,69330,26727,"Abnormality of the hypothalamus-pituitary axis",2
"HP:0000864",2008,73884,29925,"Abnormality of the hypothalamus-pituitary axis",2
"HP:0000864",2009,94806,37966,"Abnormality of the hypothalamus-pituitary axis",2
"HP:0000864",2010,118034,49331,"Abnormality of the hypothalamus-pituitary axis",2
"HP:0000864",2011,138322,57252,"Abnormality of the hypothalamus-pituitary axis",2
"HP:0000864",2012,169457,71886,"Abnormality of the hypothalamus-pituitary axis",2
"HP:0000864",2013,200411,82517,"Abnormality of the hypothalamus-pituitary axis",2
"HP:0000864",2014,251702,116574,"Abnormality of the hypothalamus-pituitary axis",2
"HP:0000864",2015,304219,143415,"Abnormality of the hypothalamus-pituitary axis",2
"HP:0000864",2016,331391,165636,"Abnormality of the hypothalamus-pituitary axis",2
"HP:0000864",2017,280260,160139,"Abnormality of the hypothalamus-pituitary axis",2
"HP:0000864",2018,274038,167574,"Abnormality of the hypothalamus-pituitary axis",2
"HP:0000864",2019,280271,170636,"Abnormality of the hypothalamus-pituitary axis",2
"HP:0000864",2020,113086,72668,"Abnormality of the hypothalamus-pituitary axis",2
"HP:0000870",2000,87,86,"Increased circulating prolactin concentration",6
"HP:0000870",2001,720,630,"Increased circulating prolactin concentration",6
"HP:0000870",2002,676,589,"Increased circulating prolactin concentration",6
"HP:0000870",2003,913,577,"Increased circulating prolactin concentration",6
"HP:0000870",2004,1239,626,"Increased circulating prolactin concentration",6
"HP:0000870",2005,1273,586,"Increased circulating prolactin concentration",6
